set_name,set_topic,set_id,order_index,word,pronunciation,part_of_speech,level,definition_vi,definition_en,synonyms,antonyms,example_sentence
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,10,mark,/mɑːrk/,verb,B1,"Đánh dấu, ghi chú; hoặc: chấm điểm; hoặc: để lại dấu vết",To make a sign or note on something; to grade or assess; or to leave a trace,"indicate, grade, leave a trace",erase,"Teachers will mark the exam papers carefully, and the scandal marked a turning point in the company's reputation."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,11,stand,/stænd/,verb,B1,"Đứng; hoặc: chịu đựng, chịu; hoặc: duy trì (quan điểm); hoặc: ứng cử",To be in an upright position; to tolerate; to maintain a position; or to run for office,"be upright, tolerate, maintain","sit, abandon","He cannot stand the noise, and he decided to stand for election despite the challenges ahead."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,12,break,/breɪk/,verb,B1,"Phá vỡ, làm gãy; hoặc: vi phạm (luật); hoặc: ngừng, tạm dừng; hoặc: phá vỡ (kỷ lục)",To damage or shatter; to violate a rule; to pause or stop; or to surpass a record,"shatter, violate, pause","repair, obey","The athlete broke the world record, but the company broke its contract with the supplier."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,13,draw,/drɔː/,verb,B1,"Vẽ, phác họa; hoặc: kéo, lôi; hoặc: hút, hấp dẫn; hoặc: rút (tiền); hoặc: hòa (trong trò chơi)",To create a picture; to pull or drag; to attract; to withdraw money; or to tie in a game,"sketch, pull, attract","erase, push","The artist drew inspiration from nature, while the lottery draw attracted millions of participants."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,14,cover,/ˈkʌvər/,verb,B1,"Che phủ, bao phủ; hoặc: đề cập, bao gồm; hoặc: che giấu; hoặc: đi qua (khoảng cách)",To place something over; to include or discuss; to conceal; or to travel a distance,"conceal, include, hide","uncover, expose","The report covers all aspects of the project, and the team covered fifty kilometers in one day."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,15,match,/mætʃ/,verb,B1,"Phù hợp, tương xứng; hoặc: so sánh, đối sánh; hoặc: trận đấu (danh từ)",To be compatible or equal; to compare or pair; or a competitive game,"suit, compare, equal",differ,"The colors don't match the interior design, and the tennis match attracted thousands of spectators."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,16,file,/faɪl/,noun,B1,"Tập tin, hồ sơ; hoặc: dụng cụ cạo, dũa; hoặc: hàng dài người",A document or record; a tool for smoothing surfaces; or a line of people,"document, tool, line",,"The company filed the legal documents, and the carpenter used a file to smooth the wooden surface."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,17,scale,/skeɪl/,noun,B1,"Quy mô, mức độ; hoặc: cân (dụng cụ); hoặc: vảy (cá); hoặc: thang đo",The size or extent of something; a weighing device; fish covering; or a graduated range,"extent, balance, range",,"The project operates on a large scale, and the fish's scales protect it from predators."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,18,ring,/rɪŋ/,noun,B1,"Vòng tròn, nhẫn; hoặc: tiếng chuông; hoặc: sân đấu (boxing)",A circular band or object; the sound of a bell; or a boxing arena,"circle, sound, arena",,"She wore a diamond ring, and the bell's ring echoed through the empty hall."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,19,plant,/plɑːnt/,noun,B1,"Cây cối; hoặc: nhà máy, xưởng; hoặc: cài cắm (bằng chứng giả)",A living organism that grows from the soil; a factory or facility; or to place something secretly,"vegetation, factory, place",,"The manufacturing plant produces thousands of units daily, and the garden is full of rare plants."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,20,court,/kɔːrt/,noun,B1,"Tòa án; hoặc: sân (tennis, bóng rổ); hoặc: triều đình; hoặc: tìm cách chiếu lòng",A legal institution; a sports playing area; a royal residence; or to seek favor,"tribunal, arena, palace",,"The case was brought to court, and the tennis match took place on the grass court."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,21,board,/bɔːrd/,noun,B1,"Bảng, tấm gỗ; hoặc: hội đồng, ban giám đốc; hoặc: lên tàu/máy bay; hoặc: ăn ở",A flat piece of wood; a group of directors; to enter a vehicle; or to provide meals,"plank, committee, embark",disembark,"The board of directors approved the budget, and passengers will board the flight in thirty minutes."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,22,fair,/fer/,adjective,B1,"Công bằng, công chính; hoặc: khá, tạm được; hoặc: sáng (da); hoặc: hội chợ",Just and impartial; reasonably good; light-colored; or a public event with entertainment,"just, decent, light","unfair, poor","The judge made a fair decision, and the weather was fair enough for the outdoor fair to proceed."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,23,compound,/ˈkɒmpaʊnd/,noun,B2,"1) (động từ) làm tăng/trầm trọng thêm; 2) (danh từ) hợp chất; 3) (tính từ) phức tạp, gồm nhiều phần",1) to make worse; 2) a substance made of two or more elements; 3) composed of multiple parts,"aggravate, intensify, composite","simplify, alleviate","The economic crisis was compounded by rising unemployment and inflation, creating a compound problem that required immediate government intervention."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,24,yield,/jiːld/,noun,B2,"1) (động từ) nhượng bộ, chịu thua; 2) (danh từ) sản lượng, năng suất; 3) (động từ) cho ra, sinh lợi",1) to give way; 2) the amount of product obtained; 3) to produce profit or result,"surrender, produce, output","resist, withstand","Farmers must yield to new agricultural regulations, though modern farming techniques yield higher crop production per hectare."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,25,engage,/ɪnˈɡeɪdʒ/,verb,C1,"1) tham gia, liên quan; 2) thu hút sự chú ý; 3) (quân sự) giao tranh; 4) cam kết",1) to participate; 2) to attract attention; 3) to enter into combat; 4) to pledge,"participate, involve, commit","disengage, withdraw",The company aims to engage customers through interactive social media campaigns while employees engage in professional development programs.
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,26,strain,/streɪn/,noun,B2,"1) (động từ) căng thẳng, gây áp lực; 2) (danh từ) chủng loại, dòng; 3) (danh từ) sự căng thẳng, áp lực",1) to put pressure on; 2) a variety or breed; 3) stress or tension,"stress, tension, variety","relax, ease","The pandemic strained healthcare systems worldwide, while a new viral strain emerged, creating additional strain on medical resources."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,27,appeal,/əˈpiːl/,noun,C1,"1) (động từ) kêu gọi, yêu cầu; 2) (danh từ) sức hấp dẫn; 3) (pháp lý) kháng cáo",1) to make a request; 2) attractiveness or charm; 3) a legal challenge to a decision,"request, attraction, charm","repel, reject","The charity made an appeal for donations, and the campaign's emotional appeal resonated with donors, though the defendant filed an appeal in court."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,28,subject,/ˈsʌbdʒɪkt/ (noun) /səbˈdʒekt/ (verb),noun,C1,"1) (danh từ) chủ đề, môn học; 2) (động từ) làm cho phải chịu; 3) (tính từ) phụ thuộc vào",1) a topic of study; 2) to cause to undergo; 3) dependent on or liable to,"topic, expose, liable","object, exempt","The history subject was made more engaging, though students were subjected to rigorous exams, and grades remained subject to teacher evaluation."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,29,object,/ˈɒbdʒɪkt/ (noun) /əbˈdʒekt/ (verb),noun,C1,"1) (danh từ) vật thể, đối tượng; 2) (động từ) phản đối, không đồng ý",1) a physical thing; 2) to express disagreement,"thing, oppose, protest","accept, agree","The main object of the study was to understand climate change, though some scientists objected to the methodology used in the research."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,30,contract,/ˈkɒntrækt/ (noun) /kənˈtrækt/ (verb),noun,B2,"1) (danh từ) hợp đồng; 2) (động từ) co lại, rút gọn; 3) (động từ) mắc bệnh",1) a legal agreement; 2) to become smaller; 3) to acquire an illness,"agreement, shrink, catch","expand, extend","The company signed a lucrative contract with the government, though the economy began to contract, and workers contracted COVID-19 during the pandemic."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,31,lead,/liːd/ (verb) /led/ (noun),noun,C1,1) (động từ) dẫn đường; 2) (danh từ) vị trí dẫn đầu; 3) (danh từ) chất chì; 4) (động từ) chỉ huy,1) to guide; 2) a position in front; 3) the metal element; 4) to direct,"guide, direct, head","follow, lag","The team leader will lead the project, maintaining their lead in the competition, while engineers removed lead from old pipes and lead poisoning became a public health concern."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,32,refuse,/rɪˈfjuːz/ (verb) /ˈrefjuːs/ (noun),noun,C1,"1) (động từ) từ chối, không chịu; 2) (danh từ) rác thải, chất thải",1) to decline or reject; 2) waste material or garbage,"decline, reject, waste","accept, agree","The government refused to implement stricter environmental policies, while cities struggled to manage refuse disposal and recycling programs."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,33,permit,/pəˈmɪt/ (verb) /ˈpɜːmɪt/ (noun),noun,C1,"1) (động từ) cho phép; 2) (danh từ) giấy phép, chứng chỉ",1) to allow; 2) an official document granting permission,"allow, enable, license","forbid, prohibit","The law permits citizens to vote at age eighteen, though applicants must obtain a work permit before employment, and weather conditions permit outdoor construction."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,34,produce,/prəˈdjuːs/ (verb) /ˈprɒdjuːs/ (noun),noun,C1,"1) (động từ) sản xuất, tạo ra; 2) (danh từ) nông sản, sản phẩm nông nghiệp",1) to manufacture or create; 2) agricultural products,"manufacture, create, crops","consume, destroy","Factories produce consumer goods efficiently, while farmers produce fresh vegetables and fruits for local markets."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,35,record,/rɪˈkɔːd/ (verb) /ˈrekɔːd/ (noun),noun,C1,"1) (động từ) ghi lại, ghi âm; 2) (danh từ) hồ sơ, kỷ lục; 3) (danh từ) đĩa nhạc",1) to document or capture; 2) a documented fact or achievement; 3) a vinyl disc,"document, register, achievement","erase, delete","Scientists record data meticulously, and the research broke a world record, while the musician released a new record album last month."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,36,minute,/ˈmɪnɪt/ (adjective) /ˈmɪnɪt/ (noun),noun,B2,"1) (tính từ) rất nhỏ, tế nhị; 2) (danh từ) phút, khoảnh khắc; 3) (danh từ) biên bản họp",1) extremely small; 2) a unit of time; 3) official notes of a meeting,"tiny, detailed, moment","huge, large","The scientist examined minute details under a microscope, taking only a minute to record the findings in the meeting minutes."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,37,tear,/teə/ (noun) /ter/ (verb),noun,C1,"1) (danh từ) nước mắt; 2) (động từ) xé rách, rách; 3) (danh từ) vết rách",1) a drop of liquid from the eye; 2) to rip or damage; 3) a rip or hole,"cry, rip, damage","repair, mend","The emotional film brought tears to viewers' eyes, while the accident caused a tear in the fabric, and the paper began to tear easily."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,38,wind,/wɪnd/ (noun) /waɪnd/ (verb),noun,C1,"1) (danh từ) gió; 2) (động từ) quấn, cuộn; 3) (động từ) uốn lượn",1) moving air; 2) to wrap around; 3) to follow a winding path,"breeze, coil, twist","calm, straighten","Strong wind damaged buildings along the coast, while hikers had to wind their way up the mountain, and the road began to wind through the forest."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,39,polish,/ˈpɒlɪʃ/ (verb) /ˈpəʊlɪʃ/ (adjective/noun),noun,B2,"1) (động từ) đánh bóng, làm sáng; 2) (danh từ) chất đánh bóng; 3) (tính từ) liên quan đến Ba Lan; 4) (động từ) hoàn thiện",1) to make smooth and shiny; 2) a substance for shining; 3) relating to Poland; 4) to refine,"shine, refine, perfect","dull, tarnish","Workers polish the marble floors daily, while the author continued to polish her manuscript, and Polish immigrants contributed significantly to the community."
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,0,unlikely,/ʌnˈlaɪkli/,adjective,B1,không có khả năng xảy ra; không chắc chắn,not probable or expected to happen,"improbable, doubtful","likely, probable",It is unlikely that the project will be completed before the deadline given current progress.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,1,uncertain,/ʌnˈsɜːtn/,adjective,B1,không chắc chắn; không rõ ràng,not sure or confident about something,"unsure, doubtful","certain, sure",The economic forecast remains uncertain due to unpredictable market conditions.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,2,uncomfortable,/ʌnˈkʌmftəbl/,adjective,B1,không thoải mái; khó chịu,causing or feeling discomfort or unease,"uneasy, awkward","comfortable, cozy",Many students feel uncomfortable asking questions in large lecture halls.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,3,unaware,/ʌnəˈweə/,adjective,B1,không biết; không nhận thức được,not knowing or realizing something,"ignorant, oblivious","aware, conscious",The company was unaware of the environmental impact of its manufacturing process.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,4,ineffective,/ɪnɪˈfektɪv/,adjective,B2,không hiệu quả; không đạt được kết quả mong muốn,not producing the desired result or effect,"inefficient, useless","effective, efficient",Traditional teaching methods proved ineffective for students with learning disabilities.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,5,inappropriate,/ɪnəˈproʊpriət/,adjective,B2,không phù hợp; không thích hợp,not suitable or proper for a particular situation,"unsuitable, improper","appropriate, suitable",Using slang in formal academic writing is considered inappropriate by most professors.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,6,incomplete,/ɪnkəmˈpliːt/,adjective,B1,chưa hoàn thành; không đầy đủ,not finished or lacking some parts,"unfinished, partial","complete, finished","The research data was incomplete, making it difficult to draw reliable conclusions."
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,7,immoral,/ɪˈmɔːrəl/,adjective,B2,không đạo đức; trái với đạo lý,not conforming to accepted standards of morality,"unethical, corrupt","moral, ethical",The company's decision to exploit workers was widely condemned as immoral.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,8,impossible,/ɪmˈpɑːsəbl/,adjective,B1,không thể làm được; bất khả thi,not able to be done or achieved,"unfeasible, unachievable","possible, feasible","Without proper funding, completing the project in one month would be impossible."
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,9,irregular,/ɪˈreɡjələr/,adjective,B2,không đều; không theo quy tắc,not following a regular pattern or rule,"inconsistent, erratic","regular, consistent",The student's irregular attendance has negatively affected their academic performance.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,10,irrelevant,/ɪˈreləvənt/,adjective,B2,không liên quan; không thích hợp với chủ đề,not connected or appropriate to what is being discussed,"unrelated, inapplicable","relevant, pertinent","The historical background, while interesting, was largely irrelevant to the main argument."
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,11,illogical,/ɪˈlɑːdʒɪkl/,adjective,B2,không hợp lý; vô lý,not following the rules of logic or reason,"irrational, unreasonable","logical, rational",The conclusion was illogical because it did not follow from the evidence presented.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,12,disadvantage,/ˌdɪsədˈvæntɪdʒ/,noun,B1,bất lợi; điều bất lợi,an unfavorable circumstance or condition,"drawback, downside","advantage, benefit",One major disadvantage of online learning is the lack of face-to-face interaction.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,13,disagree,/ˌdɪsəˈɡriː/,verb,B1,không đồng ý; có ý kiến khác,to have a different opinion from someone,"differ, dispute","agree, concur",The two researchers disagreed about the interpretation of the experimental results.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,14,disappear,/ˌdɪsəˈpɪr/,verb,B1,biến mất; không còn nhìn thấy,to cease to be visible or to stop existing,"vanish, fade","appear, emerge",The symptoms gradually disappeared after the patient completed the prescribed treatment.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,15,dishonest,/dɪsˈɑːnəst/,adjective,B2,không trung thực; gian dối,not truthful or fraudulent in behavior,"deceitful, fraudulent","honest, truthful",The dishonest practices of the corporation led to significant financial penalties.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,16,disorganized,/dɪsˈɔːrɡənaɪzd/,adjective,B2,không có tổ chức; lộn xộn,lacking order or systematic arrangement,"chaotic, messy","organized, systematic",The disorganized filing system made it difficult to locate important documents quickly.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,17,non-profit,/ˌnɑːnˈprɑːfɪt/,adjective,B2,không vì lợi nhuận; phi lợi nhuận,an organization that operates for social or charitable purposes rather than profit,"charitable, philanthropic","for-profit, commercial",The non-profit organization relies on donations and volunteer work to fund its programs.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,18,nonsense,/ˈnɑːnsens/,noun,B1,điều vô nghĩa; chuyện ngu ngốc,spoken or written words that have no meaning or are absurd,"rubbish, gibberish","sense, logic",The conspiracy theory was pure nonsense with no credible evidence to support it.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,19,unethical,/ʌnˈeθɪkl/,adjective,B2,không đạo đức; vi phạm đạo lý,not conforming to accepted principles of right and wrong behavior,"immoral, corrupt","ethical, moral",Publishing research without proper attribution is considered unethical in academic circles.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,20,unfamiliar,/ʌnfəˈmɪliər/,adjective,B1,không quen thuộc; lạ,not known or recognized; strange,"unknown, strange","familiar, known",Students often struggle with unfamiliar vocabulary when reading academic texts.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,21,unrealistic,/ˌʌnriəˈlɪstɪk/,adjective,B2,không thực tế; không hợp lý,not based on or accepting a realistic view of things,"impractical, fanciful","realistic, practical",Setting unrealistic goals often leads to disappointment and loss of motivation.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,22,unprecedented,/ʌnˈpresɪdentɪd/,adjective,B2,"chưa từng xảy ra trước đây, không có tiền lệ",never done or known before; having no previous example,"unparalleled, novel, extraordinary","common, ordinary",The pandemic caused unprecedented economic disruption across all sectors of society.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,23,unsubstantiated,/ʌnsəbˈstænʃieɪtɪd/,adjective,B2,"không có bằng chứng, không được chứng minh",not supported by evidence or proof,"unproven, unfounded, baseless","verified, proven",The journalist refused to publish the unsubstantiated claims about the politician.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,24,incoherent,/ɪnkəʊˈhɪərənt/,adjective,B2,"không mạch lạc, không rõ ràng, không liên kết logic",unclear and difficult to understand; lacking logical connection,"disjointed, unclear, muddled","coherent, clear",His incoherent speech made it difficult for the audience to follow his main argument.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,25,unwarranted,/ʌnˈwɒrəntɪd/,adjective,B2,"không có lý do chính đáng, không cần thiết, vô căn cứ",not justified or authorized; uncalled for,"unjustified, uncalled-for, undeserved","justified, warranted",The teacher's unwarranted criticism of the student's work damaged her confidence.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,26,disreputable,/dɪsˈrepjətəbl/,adjective,B2,"có danh tiếng xấu, không đáng tin cậy, khét tiếng",not respectable; having a bad reputation,"dishonorable, shameful, notorious","reputable, honorable",The company's disreputable practices led to its eventual bankruptcy and legal prosecution.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,27,unscrupulous,/ʌnˈskruːpjələs/,adjective,B2,"vô đạo đức, không có nguyên tắc, lợi dụng",dishonest and willing to do anything to succeed,"unprincipled, dishonest, unethical","scrupulous, principled",Unscrupulous businessmen exploited vulnerable consumers through misleading advertising.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,28,inaccurate,/ɪnˈækjərət/,adjective,C1,"không chính xác, sai lệch, không đúng",not correct or precise,"incorrect, imprecise, wrong","accurate, precise",The inaccurate data in the report led to incorrect conclusions about market trends.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,29,dismantle,/dɪsˈmæntl/,verb,B2,"tháo dỡ, phá bỏ, loại bỏ từng phần",to take apart or destroy a system or structure gradually,"disassemble, demolish, abolish","assemble, construct",The government decided to dismantle the outdated regulatory framework to promote innovation.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,30,unequivocal,/ʌnɪˈkwɪvəkl/,adjective,B2,"rõ ràng, không có chỗ nhập nhằng, tuyệt đối",clear and unambiguous; leaving no doubt,"unambiguous, clear, definite","ambiguous, equivocal",The scientist provided unequivocal evidence that climate change is caused by human activity.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,31,dissuade,/dɪˈsweɪd/,verb,B2,"thuyết phục ai không làm gì, ngăn cản",to persuade someone not to do something,"discourage, deter, persuade against","persuade, encourage","Despite warnings, nothing could dissuade her from pursuing her ambitious career goals."
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,32,indefensible,/ɪndɪˈfensəbl/,adjective,B2,"không thể bảo vệ, không thể biện minh, không chính đáng",unable to be justified or defended,"unjustifiable, inexcusable, indefensible","defensible, justifiable",The company's decision to ignore safety regulations was indefensible and resulted in severe penalties.
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,33,unpalatable,/ʌnˈpælətəbl/,adjective,B2,"khó chịu, không dễ chấp nhận, không thích hợp","unpleasant or unacceptable, especially when referring to ideas or truths","unpleasant, disagreeable, distasteful","palatable, pleasant",The unpalatable truth about climate change forced policymakers to reconsider their environmental strategies.
