set_name,set_topic,set_id,question_type,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,created_at
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,intermediate,The _______ organization has been providing free medical services to underprivileged communities for over twenty years.,non-profit,nonsense,non-traditional,non-essential,A,"Non-profit (phi lợi nhuận) mô tả tổ chức hoạt động vì mục đích từ thiện. Nonsense, non-traditional, non-essential không phù hợp với bối cảnh về loại tổ chức.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,basic,The two experts _______ about the best approach to solving the environmental crisis.,disagreed,disappeared,disorganized,dishonest,A,"Disagreed (không đồng ý) là động từ phù hợp với bối cảnh hai chuyên gia có ý kiến khác nhau. Disappeared, disorganized, dishonest không phù hợp về nghĩa.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,meaning,basic,Which word best describes a situation that cannot be achieved or accomplished?,impossible,uncertain,unrealistic,unlikely,A,"Impossible (không thể làm được) mô tả điều hoàn toàn không thể thực hiện. Uncertain, unrealistic, unlikely có nghĩa khác nhau và yếu hơn.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,intermediate,The government's decision to raise taxes without public consultation was widely criticized as _____ and authoritarian.,unprecedented,unwarranted,incoherent,disaffected,B,"Unwarranted (không có lý do chính đáng) phù hợp nhất vì nó mô tả một hành động không được biện minh. Unprecedented (chưa từng xảy ra) không phù hợp vì việc tăng thuế đã xảy ra trước đây. Incoherent (không mạch lạc) không liên quan. Disaffected (mất lòng) là tính từ mô tả cảm xúc của người dân, không phải hành động.",2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,meaning,intermediate,Which word best describes a person who is willing to use dishonest methods to achieve their goals?,unscrupulous,inept,disaffected,unequivocal,A,"Unscrupulous (vô đạo đức, không có nguyên tắc) là từ chính xác để mô tả người sẵn sàng dùng phương pháp bất chính. Inept (vụng về) chỉ thiếu kỹ năng. Disaffected (mất lòng) chỉ sự không hài lòng. Unequivocal (rõ ràng) là tính từ về sự rõ ràng, không liên quan.",2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,intermediate,The researcher's _____ findings were rejected by the peer review committee because they lacked sufficient evidence.,unsubstantiated,unprecedented,unequivocal,disreputable,A,Unsubstantiated (không có bằng chứng) là từ đúng vì nó mô tả những phát hiện thiếu bằng chứng. Unprecedented (chưa từng xảy ra) không liên quan đến bằng chứng. Unequivocal (rõ ràng) mang nghĩa tích cực. Disreputable (khét tiếng) không phù hợp ngữ cảnh.,2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,intermediate,"The CEO's _____ speech confused the investors, who left the meeting without understanding the company's strategy.",incoherent,unwarranted,disaffected,inaccurate,A,"Incoherent (không mạch lạc, khó hiểu) là từ chính xác vì nó mô tả bài phát biểu gây nhầm lẫn. Unwarranted (không có lý do) không phù hợp. Disaffected (mất lòng) là tính từ mô tả cảm xúc. Inaccurate (không chính xác) không thể hiện được sự nhầm lẫn về cấu trúc.",2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,intermediate,Environmental activists tried to _____ the government from approving the controversial pipeline project.,disclose,dissuade,dismantle,incapable,B,"Dissuade (thuyết phục không làm gì) là động từ chính xác vì nó mô tả việc cố gắng ngăn cản quyết định. Disclose (tiết lộ) không phù hợp ngữ cảnh. Dismantle (tháo dỡ) không thích hợp. Incapable (không có khả năng) là tính từ, không phải động từ.",2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,advanced,The company's _____ practices of exploiting workers and ignoring safety standards eventually led to its downfall.,unprecedented,unequivocal,unscrupulous,inaccurate,C,"Unscrupulous (vô đạo đức, không có nguyên tắc) mô tả chính xác những hành động không đạo đức. Unprecedented (chưa từng xảy ra) không phù hợp vì những hành vi này đã xảy ra trước. Unequivocal (rõ ràng) không liên quan. Inaccurate (không chính xác) không phù hợp ngữ cảnh.",2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,intermediate,The witness's testimony was _____ and contradicted the physical evidence presented in court.,inept,incoherent,inaccurate,unpalatable,C,Inaccurate (không chính xác) là từ chính xác vì nó mô tả lời khai mâu thuẫn với bằng chứng. Inept (vụng về) không phù hợp. Incoherent (không mạch lạc) không thể hiện được sự mâu thuẫn. Unpalatable (khó chịu) không liên quan.,2026-06-07T22:19:27.820352+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,fill_blank,advanced,The government's _____ decision to cut funding for education was met with strong opposition from teachers and parents alike.,unmitigated,disaffected,indefensible,unwarranted,A,"Unmitigated (hoàn toàn, không được giảm nhẹ) là từ chính xác vì nó nhấn mạnh tính chất tuyệt đối của quyết định xấu. Disaffected (mất lòng) mô tả cảm xúc của người dân. Indefensible (không thể biện minh) cũng có thể dùng nhưng unmitigated mạnh hơn. Unwarranted (không có lý do) ít mạnh mẽ hơn.",2026-06-07T22:19:27.820352+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,basic,The researcher needed to _____ her hypothesis with concrete data before publishing the findings.,substantiate,conjecture,circumvent,exacerbate,A,Substantiate = cung cấp bằng chứng để chứng minh. Các từ khác không phù hợp về nghĩa trong ngữ cảnh này.,2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,synonym,basic,Which word is closest in meaning to 'elucidate'?,clarify,obscure,diminish,accelerate,A,"Elucidate = làm rõ, giải thích chi tiết. Clarify có nghĩa tương tự. Obscure là từ trái nghĩa.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,intermediate,The professor presented a _____ argument that convinced all the committee members to approve the project.,pervasive,cogent,arbitrary,empirical,B,"Cogent = có sức thuyết phục, có lý lẽ mạnh mẽ. Phù hợp với ngữ cảnh thuyết phục các thành viên hội đồng.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,antonym,intermediate,What is the opposite of 'arbitrary'?,meticulous,justified,pervasive,cogent,B,"Arbitrary = tùy tiện, không có căn cứ. Antonym là justified (có lý do, hợp lý). Meticulous là từ khác loại.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,intermediate,The _____ of digital technology in modern education has changed how students learn fundamentally.,paradigm shift,conjecture,circumvention,juxtaposition,A,Paradigm shift = sự thay đổi mô hình tư duy cơ bản. Phù hợp mô tả sự thay đổi trong giáo dục hiện đại.,2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,intermediate,The scientist refused to _____ the rules and insisted on following the standard experimental protocol.,leverage,circumvent,vindicate,propound,B,Circumvent = vượt qua (quy tắc) một cách tinh vi. Ngữ cảnh cho thấy từ chối vượt qua quy tắc.,2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,basic,The author's _____ work on Medieval history demonstrates exceptional attention to detail and accuracy.,arbitrary,meticulous,pervasive,empirical,B,"Meticulous = tỉ mỉ, cẩn thận trong chi tiết. Phù hợp với công trình học thuật về lịch sử.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,intermediate,Which statement correctly uses 'empirical' in an academic context?,The theory is based on empirical assumptions without any testing.,Empirical evidence from controlled experiments supports the hypothesis.,His empirical ideas were rejected because they lacked logic.,The empirical approach helped him avoid gathering data.,B,"Empirical = dựa trên kinh nghiệm, thực nghiệm, quan sát. Chỉ B sử dụng đúng nghĩa.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,intermediate,The professor asked the student to _____ the two theoretical frameworks to highlight their key differences.,leverage,juxtapose,exacerbate,substantiate,B,Juxtapose = đặt cạnh nhau để so sánh. Phù hợp với việc so sánh hai lý thuyết.,2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,advanced,The recent findings have _____ the critics' long-standing accusations against the original research methodology.,exacerbated,vindicated,conjectured,propounded,B,"Vindicate = chứng minh là đúng, bảo vệ danh dự. Ngữ cảnh cho thấy kết quả chứng minh lời chỉ trích là đúng.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,advanced,The scholar decided to _____ a new theory that challenged the existing consensus in the field.,circumvent,leverage,propound,exacerbate,C,"Propound = đề xuất, trình bày (một lý thuyết/ý tưởng). Phù hợp với việc đưa ra lý thuyết mới.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,intermediate,The committee decided to _____ its existing resources and partnerships to expand the research project internationally.,propound,exacerbate,leverage,circumvent,C,Leverage = sử dụng (tài nguyên/ảnh hưởng) để đạt lợi thế. Phù hợp trong ngữ cảnh quản lý tài nguyên.,2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,fill_blank,advanced,The inflammatory remarks only _____ the existing tensions between the two research groups.,vindicated,exacerbated,elucidated,juxtaposed,B,"Exacerbate = làm tệ hơn, làm trầm trọng thêm. Phù hợp với việc làm tăng căng thẳng.",2026-06-03T23:12:33.039337+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,intermediate,Which of the following best describes the primary purpose of obfuscating information in academic writing?,To enhance clarity and reader comprehension,To deliberately conceal or make unclear the true meaning or intent,To provide multiple perspectives on a single topic,To strengthen the logical structure of an argument,B,Obfuscate có nghĩa là cố tình làm mờ đi hoặc che giấu ý nghĩa. Đáp án A sai vì nó ngược lại với mục đích của obfuscate. C và D không liên quan đến định nghĩa của từ này.,2026-06-07T21:03:59.266206+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,advanced,A philosopher who adopts a teleological view of history would most likely argue that:,Historical events occur randomly without any underlying pattern,The past inevitably progressed toward the present state of society,Multiple futures are equally possible from any given historical moment,Historical analysis should focus exclusively on contemporary issues,B,"Teleological có nghĩa là giả định sự phát triển hướng tới một mục đích cuối cùng đã định sẵn. Đáp án B phản ánh chính xác quan điểm này. A, C, D đều trái ngược với định nghĩa của teleological.",2026-06-07T21:03:59.266206+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,intermediate,"When a researcher posits a hypothesis, they are essentially:",Proving the hypothesis through empirical evidence,Putting forward an assumption as a basis for investigation,Rejecting alternative explanations,Conducting a final analysis of collected data,B,Posit có nghĩa là đề xuất hoặc giả định một điều gì đó như cơ sở để thảo luận. Đáp án B chính xác. A sai vì posit không phải là chứng minh; C và D không phù hợp với định nghĩa.,2026-06-07T21:03:59.266206+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,advanced,The term 'incommensurable' in academic discourse typically refers to:,Theories or frameworks that can be easily compared and measured by the same standard,Concepts that are fundamentally incompatible and cannot be measured by a common standard,Ideas that are slightly different but ultimately compatible,Hypotheses that require additional empirical validation,B,Incommensurable có nghĩa là không thể so sánh được bằng cùng một tiêu chuẩn. Đáp án B chính xác. A là ngược lại; C không phản ánh tính bất khả so sánh; D không liên quan.,2026-06-07T21:03:59.266206+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,advanced,Which statement best illustrates the concept of reification?,"Treating the abstract concept of 'justice' as if it were a concrete, tangible object",Analyzing how different cultures define abstract concepts differently,Creating new abstract concepts to explain physical phenomena,Distinguishing between abstract and concrete forms of knowledge,A,"Reify có nghĩa là coi một khái niệm trừu tượng như một vật thể cụ thể. Đáp án A là ví dụ hoàn hảo. B, C, D không phản ánh đúng định nghĩa của reification.",2026-06-07T21:03:59.266206+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,advanced,A scholar employing a hermeneutic approach to textual analysis would primarily focus on:,Counting word frequencies and linguistic patterns,The interpretation and meaning-making processes engaged in by readers,Identifying grammatical errors and stylistic inconsistencies,Comparing the text to historical documents from the same period,B,"Hermeneutic liên quan đến việc giải thích văn bản và cách con người tạo ra ý nghĩa. Đáp án B chính xác. A, C, D không phản ánh trọng tâm của phương pháp hermeneutic.",2026-06-07T21:03:59.266206+00:00
Ngôn ngữ học thuật & Trang trọng,Academic & Formal Language,06d27814-1a2c-514a-9dc0-08fabc88b9e2,meaning,intermediate,Which of the following is most likely to be described as 'synergistic'?,"Two medications that work against each other, reducing overall effectiveness",A combination of treatments that produces a greater effect than the sum of individual treatments,A single intervention that addresses multiple health issues independently,Sequential treatments applied one after another with no overlap,B,Synergistic có nghĩa là khi các yếu tố kết hợp tạo ra hiệu quả lớn hơn tổng các phần. Đáp án B chính xác. A là antagonistic; C và D không phản ánh tính synergistic.,2026-06-07T21:03:59.266206+00:00
